Rk,Season,Team,W,G,W,L,W/L%,Miscellaneous Pace,Miscellaneous ORtg,Miscellaneous DRtg,Team Shooting eFG%,Team Shooting TS%,Team TOV%,Team ORB%,Team DRB%,Team FTr,Opponent Shooting eFG%,Opponent Shooting TS%,Opponent TOV%,Opponent ORB%,Opponent DRB%,Opponent FTr
142,2023-24,Austin Peay,19,35,19,16,.543,65.9,111.6,109.1,.513,.542,11.3,30.0,69.2,.310,.521,.554,14.8,30.8,70.0,.367
143,2023-24,Cal State Northridge,19,34,19,15,.559,73.5,101.7,99.8,.495,.526,16.6,32.3,73.7,.367,.477,.521,15.9,26.3,67.7,.375
144,2023-24,Charlotte,19,31,19,12,.613,63.1,108.1,103.2,.513,.552,13.5,26.7,71.0,.348,.484,.517,13.7,29.0,73.3,.309
145,2023-24,Delaware,19,33,19,14,.576,67.7,107.8,102.5,.524,.551,14.0,27.6,72.1,.300,.482,.512,12.9,27.9,72.4,.269
146,2023-24,East Tennessee State,19,35,19,16,.543,68.8,103.5,100.7,.470,.505,14.9,35.1,70.8,.343,.495,.529,16.9,29.2,64.9,.364
147,2023-24,Indiana,19,33,19,14,.576,69.4,104.2,107.1,.521,.548,15.5,27.0,70.3,.377,.490,.529,12.8,29.7,73.0,.316
148,2023-24,Iowa,19,34,19,15,.559,72.6,114.0,108.9,.528,.567,11.6,27.4,69.7,.331,.523,.552,14.3,30.3,72.6,.329
149,2023-24,Kansas State,19,34,19,15,.559,68.4,102.8,101.3,.502,.541,18.2,32.4,69.5,.383,.468,.505,13.8,30.5,67.6,.331
150,2023-24,Lamar,19,33,19,14,.576,70.5,108.7,101.8,.512,.547,15.4,34.4,69.1,.335,.488,.528,16.9,30.9,65.6,.394
151,2023-24,Louisiana,19,33,19,14,.576,70.4,107.8,101.8,.516,.545,14.5,31.5,67.7,.281,.493,.536,18.1,32.3,68.5,.399
152,2023-24,Minnesota,19,34,19,15,.559,67.7,110.3,105.7,.541,.567,15.4,30.7,71.2,.347,.504,.536,14.0,28.8,69.3,.296
153,2023-24,North Texas,19,34,19,15,.559,63.2,108.7,100.2,.508,.541,14.8,34.1,68.9,.297,.474,.516,16.6,31.1,65.9,.374
154,2023-24,Northern Colorado,19,33,19,14,.576,69.9,110.1,106.9,.549,.575,13.9,24.4,75.0,.292,.520,.552,14.0,25.0,75.6,.286
155,2023-24,Northern Iowa,19,33,19,14,.576,67.7,107.3,104.2,.520,.554,13.5,23.9,77.6,.377,.517,.553,15.0,22.4,76.1,.300
156,2023-24,Saint Peter's,19,33,19,14,.576,65.4,98.8,97.5,.446,.493,16.0,34.5,69.6,.390,.474,.518,18.0,30.4,65.5,.426
157,2023-24,Southern Illinois,19,32,19,13,.594,65.4,109.3,102.6,.529,.569,14.8,26.3,74.7,.360,.498,.534,14.5,25.3,73.7,.357
158,2023-24,Virginia Tech,19,34,19,15,.559,68.1,110.0,104.2,.538,.578,14.6,25.0,73.8,.330,.510,.543,15.0,26.2,75.0,.302
159,2023-24,Butler,18,33,18,15,.545,69.4,108.6,103.8,.521,.555,13.6,26.9,70.9,.263,.500,.526,14.1,29.1,73.1,.219
160,2023-24,Central Michigan,18,32,18,14,.563,66.3,97.6,102.8,.473,.499,15.3,28.8,69.2,.280,.473,.511,14.1,30.8,71.2,.304
